CPU_Usage (%),Memory_Usage (%),Disk_IO (MB/s),Network_Latency (ms),Request_Rate (req/s),Error_Count,Instance_Type,Time_of_Day,Service_Type,Fault_Status
40,31,10,129,428,5,c5.large,21,Auth,Fault
10,34,45.9,80,242,2,t3.medium,18,Web,Fault
16,96,16.9,230,857,5,m5.large,13,DB,Normal
98,78,14.6,83,753,7,m5.large,8,Auth,Normal
34,18,36.2,157,243,9,t3.medium,17,DB,Fault
35,61,28.8,59,675,6,t2.micro,1,DB,Fault
61,79,9.3,17,412,7,m5.large,8,DB,Normal
81,48,6.9,140,519,5,t2.micro,20,Auth,Normal
27,82,19.9,242,865,7,t3.medium,10,Web,Fault
99,90,25.2,33,458,6,m5.large,22,DB,Fault
58,14,9.6,169,344,2,c5.large,0,Auth,Fault
84,73,14.7,82,324,3,m5.large,12,DB,Fault
50,51,39.3,83,929,8,c5.large,6,DB,Fault
89,95,25.6,90,111,4,t2.micro,18,Web,Fault
37,14,20.1,174,912,1,c5.large,15,Web,Normal
100,99,11.5,154,221,10,m5.large,15,Web,Fault
71,47,17,224,547,5,m5.large,8,DB,Fault
22,10,38.9,89,657,9,t2.micro,21,Auth,Normal
57,49,35.6,19,960,3,c5.large,6,Web,Normal
47,86,16.2,51,289,10,m5.large,1,Web,Fault
90,24,39.3,14,762,4,c5.large,8,DB,Normal
21,60,7.1,165,571,5,m5.large,4,Web,Normal
62,79,46.6,121,440,1,t3.medium,23,DB,Normal
95,62,17,64,366,7,t3.medium,18,Auth,Normal
95,37,35.5,151,155,10,t2.micro,8,Auth,Fault
44,89,27.4,17,514,8,m5.large,12,DB,Normal
96,89,33.4,239,798,3,c5.large,10,DB,Fault
92,46,13.3,22,160,10,m5.large,23,DB,Normal
18,95,27.1,144,286,7,t3.medium,20,Auth,Fault
42,43,18.9,227,213,4,c5.large,16,DB,Fault
